report_id,source_record_id,product_code,event_type,source_narrative,assertion_text,assertion_status_rater2,routing_action_rater2,evidence_insufficient_rater2,citation_unresolved_rater2,policy_contradiction_rater2,adjudication_note
MAUDE-ECG-0001,1000341190-2025-00006,DPS,Death,"Event Description: THE CUSTOMER BROUGHT A FILE WITH MISSED PAUSES ON 02 JULY 2025. THE CUSTOMER WAS REQUESTING TO ADD MORE INFORMATION AROUND A PERIOD OF TIME DURING A PATIENT'S HOLTER STUDY THAT WAS NOT IN THE ORIGINAL REPORT. THE PATIENT EXPIRED WHILE WEARING THE DEVICE PER FAMILY AND THEY WERE CURIOUS WHY THERE WAS NOT ANYTHING DOCUMENTED FOR THOSE TIMES. DURING THE INVESTIGATION OF THE TAPE SIGNIFICANT PAUSES WERE LOCATED. IT WAS NOTED THAT THE PAUSES WERE MISSED BY CARDIOLOGS, INCLUDING ONE THAT LASTED OVER 3 MINUTES. THE ONLY PAUSES THAT WERE PICKED UP IN THE FILE WERE FROM A PREVIOUS TIME PERIOD DURING THE STUDY, WHICH WERE NOTATED ON THE ORIGINAL REPORT. NO ADDITIONAL INFORMATION WAS PROVIDED. Manufacturer Narrative: THIS IS A KNOWN CASE OF ""PAUSE IN NOISE"". IN ORDER TO REDUCE FALSE POSITIVES, WE REMOVE PAUSES DETECTED IN NOISY SIGNAL. THIS IS KNOWN AND WILL BE SIGNIFICANTLY IMPROVED IN OUR NEXT VERSION (ONGOING SUBMISSION). HOWEVER, THIS RECORDING IS ALSO NOT COMMON SINCE THERE ARE +4500 PAUSES DETECTED BY THE ALGO. THERE IS HOWEVER A PROBLEM WITH NOISE DETECTION IN THAT CASE, BECAUSE LARGE PORTIONS OF SIGNAL ARE DETECTED AS NOISE DESPITE FEW BEATS (VERY SLOW RHYTHM). YOU CAN SEE ON THE HRDP THAT THE PAUSES ARE DETECTED, AND MISSED ONLY WHEN THE SIGNAL IS CLASSIFIED AS NOISE.","IT WAS NOTED THAT THE PAUSES WERE MISSED BY CARDIOLOGS, INCLUDING ONE THAT LASTED OVER 3 MINUTES.",confirmed,ESCALATE_TO_HUMAN_IMMEDIATE,no,not_assessable,not_assessable,"Manufacturer confirms a known, still-uncorrected algorithm limitation (pauses dropped when signal classified as noise) missed a >3 minute pause in a Holter study on a patient who died while wearing the device; a temporal association to a death plus a confirmed, currently-fielded detection gap warrants immediate human review even though no explicit causal statement is made."
MAUDE-ECG-0004,1218950-2026-100282,DPS,Malfunction,"Event Description: PHILIPS RECEIVED A COMPLAINT ON THE PAGEWRITER TC50 CARDIOGRAPH INDICATING THE ECG WAVEFORM WAS NOT NORMAL AND RESULTING IN A FRIZZY WAVEFORM. THE DEVICE WAS NOT IN USE ON PATIENT AT TIME OF EVENT; THERE WAS NO ADVERSE EVENT REPORTED. Manufacturer Narrative: THE MANUFACTURING DATE FOR THE REPORTED DEVICE IS PRIOR TO 24 SEPT 2016, SO NO UDI REQUIRED. E1: REPORTING INSTITUTION PHONE#(B)(6). E1: REPORTER PHONE#(B)(6). PHILIPS AUTHORIZED SERVICE PERSONAL (ASP) EVALUATED THE DEVICE AND WAS ABLE TO REPLICATE THE REPORTED ISSUE OF ABNORMAL ECG WAVEFORM ON THE TC50 DURING MEASUREMENT. SYSTEM LOGS WERE REVIEWED AND NO ERROR CODES WERE FOUND. FUNCTIONAL TESTING SHOWED A FRIZZY ECG WAVEFORM, AND IT WAS DETERMINED THAT THE PROBABLE CAUSE WAS AGING ECG ELECTRODE PATCHES. THE ASP REPLACED THE PATIENT ECG ELECTRODE PATCHES AND CONFIRMED THAT THE WAVEFORM RETURNED TO NORMAL. THE DEVICE WAS RETURNED TO FULL FUNCTIONALITY. ANALYSIS WAS PERFORMED AND INVESTIGATION HAS BEEN COMPLETED. THE ENGINEER REPLACED THE ECG ELECTRODE PATCHES FOR THE CUSTOMER. THE INVESTIGATION CONCLUDES THAT NO FURTHER ACTION IS REQUIRED AT THIS TIME. IF ADDITIONAL INFORMATION IS RECEIVED THE COMPLAINT FILE WILL BE REOPENED.","FUNCTIONAL TESTING SHOWED A FRIZZY ECG WAVEFORM, AND IT WAS DETERMINED THAT THE PROBABLE CAUSE WAS AGING ECG ELECTRODE PATCHES.",confirmed,NO_ACTION,no,not_assessable,not_assessable,"Root cause confirmed as aging consumable electrodes, not a device design defect; resolved by replacement, waveform confirmed normal afterward, no patient was connected and no adverse event occurred."
MAUDE-ECG-0005,1218950-2026-100364,DPS,Malfunction,Event Description: IT WAS REPORTED THAT THE DEVICE IS NOT PROVIDING ACCURATE READINGS. THE DEVICE WAS IN USE ON A PATIENT AT THE TIME OF THE EVENT. THERE WAS NO ADVERSE EVENT REPORTED. Manufacturer Narrative: A FOLLOW UP REPORT WILL BE SUBMITTED ONCE THE INVESTIGATION IS COMPLETE. D4 UNIQUE DEVICE IDENTIFIER (UDI): THE MANUFACTURING DATE FOR THE REPORTED DEVICE IS PRIOR TO 24SEPT2016 SO NO UDI REQUIRED.,IT WAS REPORTED THAT THE DEVICE IS NOT PROVIDING ACCURATE READINGS.,suspected,MONITOR,yes,not_assessable,not_assessable,"Accuracy complaint on a device in patient use, but no adverse event, no root cause yet, and investigation explicitly still open; conservative interim action is monitoring pending the follow-up report."
MAUDE-ECG-0006,1218950-2026-100394,DPS,Injury,"Event Description: PHILIPS RECEIVED A COMPLAINT ON CARDIAC WORKSTATION (CW) INDICATING THAT IN THE ELECTRONIC MEDICAL RECORD, THEY ARE SEEING A BIG SPIKE IN THE BEGINNING OF THE ELECTROCARDIOGRAM. THE CUSTOMER FURTHER INDICATED THAT A MYOCARDIAL INFARCTION WAS MISSED DUE TO THIS ISSUE. Manufacturer Narrative: THE ISSUE HAS BEEN ESCALATED TO A PRODUCT SUPPORT ENGINEER FOR INVESTIGATION. PHILIPS IS IN THE PROCESS OF OBTAINING ADDITIONAL INFORMATION CONCERNING THIS EVENT AND THE COMPLAINT IS STILL UNDER INVESTIGATION. A FINAL REPORT WILL BE SUBMITTED ONCE THE INVESTIGATION IS COMPLETE.",THE CUSTOMER FURTHER INDICATED THAT A MYOCARDIAL INFARCTION WAS MISSED DUE TO THIS ISSUE.,suspected,ESCALATE_TO_HUMAN_IMMEDIATE,yes,not_assessable,not_assessable,"Unconfirmed customer allegation, but the alleged harm (a missed myocardial infarction linked to a waveform display artifact) is life-threatening in nature and investigation has only just been opened; conservative routing favors immediate human safety review over waiting for the still-pending final report."
MAUDE-ECG-0013,2183461-2025-00021,DPS,Injury,"Event Description: IT WAS INITIALLY REPORTED THAT THE ELI 380 RESTING ELECTROCARDIOGRAPH READINGS WERE MISCALCULATING THE QTC AND THE PATIENT WENT INTO CARDIAC ARREST. THE CUSTOMER REPORTED THAT THE DEVICE INTERPRETED THE PATIENT¿S QTC VALUE AS 440 AND THE PHYSICIAN CALCULATED THE QTC VALUE AS 501. Manufacturer Narrative: FOLLOW UP WAS PERFORMED WITH THE CUSTOMER, AND THE CUSTOMER STATED THIS EVENT WAS NOT RELATED TO THE EKG. THE CUSTOMER REPORTED THAT NO ONE REALIZED THE CORRECTED QT INTERVAL WAS NOT SET TO QTCB BAZETT¿S FORMULA SO THERE WAS NO CALCULATION FOR THE QTB. THE CUSTOMER CONFIRMED THAT THERE WERE NO ALTERATIONS IN THE PATIENT¿S PLAN OF CARE ASSOCIATED WITH THE RESULTS FROM THE ECG PERFORMED AND THAT THE TIKOSYN WOULD HAVE STILL BEEN ADMINISTERED AS THE REAL READING WAS ABOVE 501. THE CUSTOMER REPORTED THAT THE EVENT OCCURRED DUE TO SUPPLEMENTS (NAME OF SUPPLEMENTS WAS NOT PROVIDED) THE PATIENT WAS TAKING AND THE PHYSICIAN ORDERING THE TIKOSYN TOO CLOSELY TOGETHER. THE COMBINATION OF TIKOSYN ADMINISTRATION AND THE SUPPLEMENTS THE PATIENT WAS TAKING WAS REPORTED TO HAVE CAUSED AN ABNORMAL HEARTBEAT, TORSADE DE POINTES, RESULTING IN CARDIAC ARREST. ADDITIONAL DETAILS REGARDING THE PATIENT¿S MEDICAL HISTORY AND OUTCOME WERE ASKED; HOWEVER, NO ADDITIONAL DETAILS WERE PROVIDED. THE ELI 380 DEVICE IS INTENDED TO BE USED TO ACQUIRE, ANALYZE, DISPLAY, AND PRINT ELECTROCARDIOGRAMS TO PROVIDE INTERPRETATION OF THE DATA FOR CONSIDERATION BY A PHYSICIAN. THE DEVICE IS INTENDED TO BE USED IN A CLINICAL SETTING, BY A PHYSICIAN, OR BY TRAINED PERSONNEL WHO ARE ACTING ON THE ORDERS OF A LICENSED PHYSICIAN. IT IS NOT INTENDED AS A SOLE MEANS OF DIAGNOSIS. THE IFU STATES THE INTERPRETATIONS OF ECG OFFERED BY THE DEVICE ARE ONLY SIGNIFICANT WHEN USED IN CONJUNCTION WITH A PHYSICIAN OVER-READ AS WELL AS CONSIDERATION OF ALL OTHER RELEVANT PATIENT DATA. THE ELI 380 DEVICE USES THE BAZETT¿S FORMULA FOR CALCULATING THE QTC VALUE (WHEN ENABLED IN THE DEVICE CONFIGURATION SETTINGS; THIS IS NOT SET ON DEFAULT) WHICH IS CALCULATED BY DIVIDING THE QT INTERVAL BY THE SQUARE ROOT OF THE RR INTERVAL IN A PATIENT¿S ECG. THE QTC ESTIMATES THE QT INTERVAL AT A HEART RATE OF 60BPM, THIS ALLOWS COMPARISON VALUES OVER TIME AT DIFFERENT HEART RATES AND IMPROVES DETECTION OF ARRHYTHMIAS. THE NORMAL QTC RANGE FOR AN ADULT MALE IS LESS THAN 430 MS, AND LESS THAN 460 MS FOR AN ADULT FEMALE. CARDIAC ARREST IS THE LOSS OF ALL HEART ACTIVITY, CAUSING LOSS OF BLOOD FLOW, UNCONSCIOUSNESS, AND POSSIBLY DEATH. COMMON CONDITIONS THAT LEAD TO CARDIAC ARREST ARE VENTRICULAR FIBRILLATION, CORONARY ARTERY DISEASE, HEART ATTACK, CARDIOMYOPATHY, HEART VALVE DISEASE, OR CONGENITAL HEART DEFECTS. IN THIS EVENT, THE PATIENT WAS REPORTED TO HAVE EXPERIENCED A LIFE-THREATENING CARDIAC ARREST REQUIRING EMERGENT MEDICAL INTERVENTION TO PRECLUDE PERMANENT IMPAIRMENT OR DEATH, CONCLUDING A SERIOUS INJURY OCCURRED. THE EXACT CAUSE OF THE PATIENT¿S CARDIAC ARREST IS UNKNOWN, BUT LIKELY MULTIFACTORIAL BASED ON THE CUSTOMER¿S REPORT OF SUPPLEMENTS THE PATIENT WAS TAKING AND TIKOSYN BEING ORDERED AND ADMINISTERED TOO CLOSELY TOGETHER. BASED ON ADDITIONAL INFORMATION FROM THE CUSTOMER THAT NO MEDICAL DECISIONS WERE MADE TO CHANGE THE COURSE OF TREATMENT BASED ON THE ECG READING IT IS REASONABLE TO CONCLUDE THAT THE INACCURATE QT/QTC VALUES PROVIDED BY THE ELI 380 DEVICE DID NOT CAUSE OR CONTRIBUTE TO THE PATIENT¿S CARDIAC ARREST. IF THE REPORTED USE ERROR EVENT WERE TO RECUR OF INACCURATE VALUES DUE TO ECG SETTINGS NOT CONFIGURED AND VERIFIED TO THE EXPECTED FORMULA AND A TRAINED CLINICIAN OVER-READ DOES NOT OCCUR, IT IS LIKELY TO CAUSE OR CONTRIBUTE TO A SERIOUS INJURY, HOWEVER, THE IMPORTANCE OF PHYSICIAN OVER-READ IS OUTLINED AS NOTED ABOVE IN THE IFU. THE INVESTIGATION OF THE ELI380 IS ONGOING THE DEVICE WAS RETURNED AND IS PENDING INSPECTION. IF ADDITIONAL INFORMATION BECOMES AVAILABLE, IT WILL BE SUBMITTED IN A SUPPLEMENTAL REPORT.",THE CUSTOMER STATED THIS EVENT WAS NOT RELATED TO THE EKG.,negated,CAPA_INVESTIGATE,no,not_assessable,not_assessable,"Customer explicitly attributed the cardiac arrest to a drug-supplement interaction rather than the device, negating a direct causal link for this case; however the manufacturer's own narrative flags that the QTc (Bazett) setting is not enabled by default and that recurrence without configuration/overread would likely cause serious injury, so the underlying use-error/configuration risk still warrants CAPA-level investigation."
MAUDE-ECG-0014,9610816-2026-100159,DPS,Malfunction,"Event Description: IT WAS REPORTED THAT THE NON-INVASIVE BLOOD PRESSURE (NIBP) MEASUREMENTS WERE INCORRECT. THE DEVICE WAS NOT IN USE ON A PATIENT AT THE TIME OF THE EVENT, SO THERE WAS NO PATIENT INVOLVEMENT. Manufacturer Narrative: ANALYSIS WAS PERFORMED BY BENCH REPAIR PERSONNEL WHICH INCLUDED DIAGNOSTICS OF THE MP5 CARDIAC MONITOR, AND THERE WAS NO ISSUE FOUND WITH THE MONITOR. FUNCTIONAL TESTS WERE CARRIED OUT WITH POSITIVE RESULTS. THE SUPPLIED ACCESSORIES WERE CHECKED, AND A FAULTY (LEAKY) NBP TUBE WAS FOUND, WHICH WAS THE CAUSE OF THE REPORTED FAULT, AS WELL AS A NON-ORIGINAL CUFF. THE CUFF WAS NOT CHECKED, AS PHILIPS RECOMMENDS USING ORIGINAL ACCESSORIES. THE RESULTS OF THE ANALYSIS FOUND THAT THE NBP AIR HOSE REQUIRED REPLACEMENT. BASED ON THE RESULTS OF THE ANALYSIS, IT WAS DETERMINED THAT THE PRODUCT HAS MALFUNCTIONED, AND THE MOST LIKELY CAUSE OF THE REPORTED PROBLEM WAS THE NIBP AIR HOSE. THE ISSUE WAS RESOLVED BY REPLACING THE NIBP AIR HOSE WITH A NEW ONE. THE DEVICE IS WORKING PROPERLY, SO IT WAS RETURNED TO THE CUSTOMER.",THE RESULTS OF THE ANALYSIS FOUND THAT THE NBP AIR HOSE REQUIRED REPLACEMENT.,confirmed,NO_ACTION,no,not_assessable,not_assessable,"Root cause confirmed as a faulty accessory (leaky NBP air hose, plus a non-original cuff in use); the monitor itself tested with no issue, the fault was resolved by replacement, and no patient was involved."
MAUDE-ECG-0015,9610816-2026-100844,DPS,Malfunction,"Event Description: IT WAS REPORTED THAT THE DEVICE DISPLAYED A HIGHER HEART RATE THAN ACTUAL FOLLOWING THE SOFTWARE UPGRADE. IT WAS INDICATED THE DEVICE IS DOUBLING THE ACTUAL HEART RATE. IT WAS INDICATED THAT PATIENTS DID NOT RECEIVE ANY ADDITIONAL MEDICAL INTERVENTION AS THE ISSUE WAS IDENTIFIED DURING THE APPOINTMENT, SO NO ADDITIONAL MEDICAL INTERVENTION WAS PERFORMED. THIS REPORT ADDRESSES EVENT 2 OF 10. Manufacturer Narrative: REPORTING INSTITUTION PHONE # (B)(6) PHILIPS IS IN THE PROCESS OF OBTAINING ADDITIONAL INFORMATION CONCERNING THIS EVENT AND THE COMPLAINT IS STILL UNDER INVESTIGATION. A FINAL REPORT WILL BE SUBMITTED ONCE THE INVESTIGATION IS COMPLETE.",IT WAS INDICATED THE DEVICE IS DOUBLING THE ACTUAL HEART RATE.,confirmed,CAPA_INVESTIGATE,yes,not_assessable,not_assessable,"Heart-rate doubling after a software upgrade is explicitly confirmed and this report is stated to be 'event 2 of 10,' indicating a recurring pattern tied to the software update rather than an isolated unit fault; root cause is not yet determined (investigation still open), so CAPA-level investigation into the software upgrade is warranted."
MAUDE-ECG-0016,MW5137960,DPS,Malfunction,Event Description: A CALL TO TECHNICAL SERVICES ON (B)(6) 2011 STATES THAT THERE IS A CLINIC (HCCI) HAVING SOME TROUBLE WITH PACEART. NO OTHER INFORMATION IS AVAILABLE. THIS REPORT REFLECTS INFORMATION RECEIVED BY FDA IN THE FORM OF A NOTIFICATION PER 803.22 (B)(2).,STATES THAT THERE IS A CLINIC (HCCI) HAVING SOME TROUBLE WITH PACEART.,mention-only,NO_ACTION,yes,not_assessable,not_assessable,"Narrative provides only a vague mention of unspecified 'trouble' with no description of the nature of the problem, patient involvement, or outcome; there is not enough information to support any action beyond passive logging."
MAUDE-ECG-0018,1218950-2024-00076,MLO,Malfunction,"Event Description: THE CUSTOMER REPORTED THAT THERE WAS INCORRECT ACCESSIONID HOLTER CAUSING PATIENT IMAGES TO BE MATCHED TO THE WRONG PATIENT ID. PATIENT INVOLVEMENT IS UNKNOWN. THERE WAS NO REPORT OF PATIENT OR USER HARM. Manufacturer Narrative: PHILIPS IS IN THE PROCESS OF OBTAINING ADDITIONAL INFORMATION CONCERNING THIS EVENT AND THE COMPLAINT IS STILL UNDER INVESTIGATION. A FINAL REPORT WILL BE SUBMITTED ONCE THE INVESTIGATION IS COMPLETE. (B)(6). Manufacturer Narrative: A REMOTE SERVICE ENGINEER (RSE) DETERMINED THAT WHEN USING THE XML WORKLIST IN HOLTER SOFTWARE (3.0.4), THE FOLLOWING ISSUES OCCURRED: WHEN EXPORTING THE HOLTER STUDY IN DICOM FORMAT, THE ACCESSIONID WAS LOST, AND THE PATIENT SEX (MALE OR FEMALE) IS CHANGED TO O (OTHER). THE COMPLAINT WAS ESCALATED FOR TECHNICAL INVESTIGATION. THE ZHR FILE FORMAT WAS DESIGNED IN EARLY RELEASE OF HOLTER SOFTWARE, AND THERE IS NO RESERVED SPACE FOR NEW DATA, SUCH AS THE DICOM MODALITY WORKLIST (MWL) DATA. WHEN ¿DICOM ENCAPSULATED PDF¿ WAS ADDED IN HOLTER 3.0.4 RELEASE, THE ZHR FILE FORMAT WAS NOT EXPANDED TO STORE DICOM DATA. THEREFORE, TO AVOID LOSING DICOM MWL DATA, THE CORRECT DICOM WORKFLOW WAS DETERMINED BY CHOOSING A DICOM MWL IN ¿NEW PATIENT¿ DIALOG AFTER ECG DATA IS UPLOADED FROM DTXT RECORDER AND IS ANALYZED BY CALG ALGORITHM. IT SHOULD BE EXPORTED TO DICOM SERVER DIRECTLY. IN THE ¿DICOM ENCAPSULATED PDF¿, THE PATIENT DATA ON PDF REPORT IS CORRECT. IN OTHER WORDS, WHEN THE USER OPENS, VIEWS, AND PRINTS THE DICOM ENCAPSULATED PDF REPORT, ALL THE DATA IS CORRECT. ONLY THE DATA STORED IN DICOM TAGS IS WRONG. THE RECOMMENDED WORKFLOW IS TO EXPORT DICOM PDF REPORT FIRST, THEN SAVE TO ZHR FILE. BASED ON THE INFORMATION AVAILABLE AND THE TESTING CONDUCTED, THE CAUSE OF THE REPORTED PROBLEM WAS THE DESIGN ISSUE OF SOFTWARE. THE REPORTED PROBLEM WAS CONFIRMED. THE DICOM INFO MUST BE DELETED IN MEMORY WHEN THE USER CLOSES THE DOCUMENT. PHILIPS WILL CHANGE THE ZHR FILE FORMAT TO STORE DICOM MWL DATA. AFTERWARDS, THE MISMATCH WILL NOT HAPPEN ANYMORE. THE ISSUE WILL BE FULLY RESOLVED IN A FUTURE SOFTWARE RELEASE. THE COMPLAINT IS STILL UNDER INVESTIGATION. A FINAL REPORT WILL BE SUBMITTED ONCE THE INVESTIGATION IS COMPLETE.",THE CUSTOMER REPORTED THAT THERE WAS INCORRECT ACCESSIONID HOLTER CAUSING PATIENT IMAGES TO BE MATCHED TO THE WRONG PATIENT ID.,confirmed,CAPA_INVESTIGATE,no,not_assessable,not_assessable,"Manufacturer confirms a design-level software defect (ZHR file format cannot store DICOM MWL data) that causes AccessionID loss and wrong-patient data matching during DICOM export; no harm has been reported yet, but wrong-patient association is a high-risk data-integrity defect and a fix is already planned for a future release, supporting CAPA-level tracking rather than closure."
MAUDE-ECG-0019,1218950-2024-00242,MLO,Malfunction,"Event Description: THE CUSTOMER REPORTED THERE IS A PATIENT MISMATCH IN CLINICAL HOLTER (ECG) REPORT DATA BETWEEN TWO PATIENTS IN THE PHILIPS CARDIO INTELLISPACE CARDIOVASCULAR APPLICATION. THE RESULT IS THAT THE WRONG PATIENT DATA IS MATCHED WITH THE WRONG PATIENT. Manufacturer Narrative: THE COMPLAINT WAS ESCALATED FOR TECHNICAL INVESTIGATION. THE ZHR FILE FORMAT WAS DESIGNED IN AN EARLY RELEASE OF HOLTER SOFTWARE, AND THERE IS NO RESERVED SPACE FOR NEW DATA, SUCH AS THE DICOM MODALITY WORKLIST (MWL) DATA. WHEN ¿DICOM ENCAPSULATED PDF¿ WAS ADDED IN HOLTER 3.0.4 RELEASE, THE ZHR FILE FORMAT WAS NOT EXPANDED TO STORE DICOM DATA. THEREFORE, TO AVOID LOSING DICOM MWL DATA, THE CORRECT DICOM WORKFLOW WAS DETERMINED BY CHOOSING A DICOM MWL IN ¿NEW PATIENT¿ DIALOG AFTER ECG DATA IS UPLOADED FROM DTXT RECORDER AND IS ANALYZED BY CALG ALGORITHM. IT SHOULD BE EXPORTED TO DICOM SERVER DIRECTLY. IN THE ¿DICOM ENCAPSULATED PDF¿, THE PATIENT DATA ON PDF REPORT IS CORRECT. IN OTHER WORDS, WHEN THE USER OPENS, VIEWS, AND PRINTS THE DICOM ENCAPSULATED PDF REPORT, ALL THE DATA IS CORRECT. ONLY THE DATA STORED IN DICOM TAGS IS WRONG. THE RECOMMENDED WORKFLOW IS TO EXPORT DICOM PDF REPORT FIRST, THEN SAVE TO ZHR FILE. BASED ON THE INFORMATION AVAILABLE AND THE TESTING CONDUCTED, THE CAUSE OF THE REPORTED PROBLEM WAS THE DESIGN ISSUE OF SOFTWARE. THE REPORTED PROBLEM WAS CONFIRMED. E1 REPORTING ADDRESS POSTAL CODE: (B)(6). THE DICOM INFO MUST BE DELETED IN MEMORY WHEN THE USER CLOSES THE DOCUMENT. PHILIPS WILL CHANGE THE ZHR FILE FORMAT TO STORE DICOM MWL DATA. AFTERWARDS, THE MISMATCH WILL NOT HAPPEN ANYMORE. THE ISSUE WILL BE FULLY RESOLVED IN A FUTURE SOFTWARE RELEASE.  Manufacturer Narrative: PHILIPS IS IN THE PROCESS OF OBTAINING ADDITIONAL INFORMATION CONCERNING THIS EVENT AND THE COMPLAINT IS STILL UNDER INVESTIGATION. A FINAL REPORT WILL BE SUBMITTED ONCE THE INVESTIGATION IS COMPLETE.",THE RESULT IS THAT THE WRONG PATIENT DATA IS MATCHED WITH THE WRONG PATIENT.,confirmed,CAPA_INVESTIGATE,no,not_assessable,not_assessable,Confirmed recurrence of the same wrong-patient DICOM/ZHR data-mismatch design defect described in the related report for this same product (MAUDE-ECG-0018); a second independent complaint on the identical confirmed root cause supports systemic CAPA-level action rather than a one-off fix.
