report_id,source_record_id,product_code,event_type,source_narrative,assertion_text,assertion_status_rater2,routing_action_rater2,evidence_insufficient_rater2,citation_unresolved_rater2,policy_contradiction_rater2,adjudication_note
MAUDE-ECG-0002,1218950-2025-000355,DPS,Death,"Event Description: IT WAS REPORTED THERE WAS A DISCREPANCY IN RHYTHM INTERPRETATION BETWEEN THE CARDIOGRAPH AND THE MONITOR ECG. INFORMATION RECEIVED FROM THE CUSTOMER INDICATED THE DEVICE HAD 'BEEN A CONTRIBUTING FACTOR TO PATIENT DEATHS AND PATIENT INCIDENTS'. THE CUSTOMER CLARIFIED THE ALLEGATION TO MEAN THAT THE CRITICAL VALUE STATEMENT (TEXT) IS NOT APPEARING IN THE CUSTOMER THIRD-PARTY CERNER ELECTRONIC MEDICAL RECORD (EMR) BUT IS SHOWING ON THE MX MONITOR AND PAGEWRITER TC CARTS. Manufacturer Narrative: THE ISSUE WAS INVESTIGATED BY A PHILIPS SENIOR PRODUCT SUPPORT ENGINEER, A PHILIPS INTEGRATION ENGINEER (IE) AND A PHILIPS SOLUTIONS ARCHITECT. THE IE PERFORMED AN ANALYSIS OF THE CONTENTS PHILIPSXML BEING SENT BY THE PIC IX C.03 SYSTEM AND WORKED WITH THE CUSTOMER¿S INTEGRATION ANALYST TO REVIEW WHAT WAS SEEN IN THE DATAMED OUTPUT. THE MONITOR DATA PATHWAY IS SUMMARIZED AS FOLLOWS: THE PHILIPS MX SERIES MONITOR SENDS THE CRITICAL VALUE STATEMENTS TO A PHILIPS PATIENT INFORMATION CENTER IX (PIC IX CENTRAL MONITORING) C.03 SYSTEM. THE PIC IX C.03 INCLUDES THESE CRITICAL VALUE STATEMENTS IN THE PHILIPS XML OF THE 12-LEAD ECG RESULT TO A THIRD-PARTY MIDDLEWARE PRODUCT 'DATAMEDFT', NOT SOLD OR DISTRIBUTED BY PHILIPS TO THIS CUSTOMER. THE CUSTOMERS PAGEWRITERTC CARTS ARE LICENSED AND CONFIGURED TO SEND DICOM FORMATTED ECG STUDIES DIRECTLY TO THE CUSTOMER'S CERNER EMR. THE INVESTIGATION DETERMINED THAT THE PHILIPS DICOM IS DESIGNED TO AND FUNCTIONS TO MEET THE UNIVERSAL DICOM STANDARDS. THIS STANDARD DOES NOT INCLUDE THE TRANSFER OF CRITICAL VALUE STATEMENTS. IN THIS CASE, THE CUSTOMER MISTAKENLY BELIEVED THAT THE CRITICAL VALUES WOULD TRANSFER TO THE CERNER EMR AND, BECAUSE OF THIS, THE USER WAS NOT ALERTED TO THE PATIENT CONDITION IN THE EXPECTED WAY. PHILIPS CARDIOGRAPH FOLLOWS THE UNIVERSAL DICOM STANDARDS AND THE PHILIPS DEVICE IS CONFORMING TO SPECIFICATIONS. AS A RESULT, THE CERNER ELECTRONIC MEDICAL RECORD DOES NOT DISPLAY THE CRITICAL VALUE STATEMENTS WHEN PAGEWRITERTC CARTS ARE LICENSED AND CONFIGURED TO SEND DICOM FORMATTED ECG STUDIES. IN SUMMARY, CERNER SOFTWARE IS NOT ABLE TO DISPLAY/PRINT CRITICAL VALUE. CERNER DOESN'T PUBLISH ITS DICOM CONFORMANCE STATEMENT FOR PHILIPS TO DO THE SYSTEM INTEGRATION. CERNER DOES NOT OPEN A CHANNEL FOR PHILIPS TO DO THE SYSTEM INTEGRATION. DICOM STANDARD DOESN'T DEFINE/RESERVE ¿DICOM TAG¿ FOR CRITICAL VALUE. ANY FURTHER CHANGES TO DICOM CAN ONLY BE PERFORMED IN COOPERATION WITH CERNER. THE INVESTIGATION CONCLUDES THAT NO FURTHER ACTION IS REQUIRED AT THIS TIME. IF ADDITIONAL INFORMATION IS RECEIVED THE COMPLAINT FILE WILL BE REOPENED. Manufacturer Narrative: THE CUSTOMER CLARIFIED THE ALLEGATION TO MEAN THAT THE CRITICAL VALUE STATEMENT (TEXT) IS NOT APPEARING IN THE CUSTOMER THIRD-PARTY CERNER ELECTRONIC MEDICAL RECORD (EMR) BUT IS SHOWING ON THE MX MONITOR AND PAGEWRITER TC CARTS. THE ISSUE WAS INVESTIGATED BY A PHILIPS SENIOR PRODUCT SUPPORT ENGINEER, A PHILIPS INTEGRATION ENGINEER (IE) AND A PHILIPS SOLUTIONS ARCHITECT. THE IE PERFORMED AN ANALYSIS OF THE CONTENTS PHILIPSXML BEING SENT BY THE PIC IX C.03 SYSTEM AND WORKED WITH THE CUSTOMER¿S INTEGRATION ANALYST TO REVIEW WHAT WAS SEEN IN THE DATAMED OUTPUT. THE MONITOR DATA PATHWAY IS SUMMARIZED AS FOLLOWS: THE PHILIPS MX SERIES MONITOR SENDS THE CRITICAL VALUE STATEMENTS TO A PHILIPS PATIENT INFORMATION CENTER IX (PIC IX CENTRAL MONITORING) C.03 SYSTEM. THE PIC IX C.03 INCLUDES THESE CRITICAL VALUE STATEMENTS IN THE PHILIPS XML OF THE 12-LEAD ECG RESULT TO A THIRD-PARTY MIDDLEWARE PRODUCT 'DATAMEDFT', NOT SOLD OR DISTRIBUTED BY PHILIPS TO THIS CUSTOMER. THE CUSTOMERS PAGEWRITERTC CARTS ARE LICENSED AND CONFIGURED TO SEND DICOM FORMATTED ECG STUDIES DIRECTLY TO THE CUSTOMER'S CERNER EMR. THE INVESTIGATION DETERMINED THAT THE PHILIPS DICOM IS DESIGNED TO AND FUNCTIONS TO MEET THE UNIVERSAL DICOM STANDARDS. THIS STANDARD DOES NOT INCLUDE THE TRANSFER OF CRITICAL VALUE STATEMENTS. IN THIS CASE, THE CUSTOMER MISTAKENLY BELIEVED THAT THE CRITICAL VALUES WOULD TRANSFER TO THE CERNER EMR AND, BECAUSE OF THIS, THE USER WAS NOT ALERTED TO THE PATIENT CONDITION IN THE EXPECTED WAY. GOOD FAITH EFFORTS ARE BEING MADE TO OBTAIN SERIAL NUMBER UDI INFORMATION. PHILIPS IS IN THE PROCESS OF OBTAINING ADDITIONAL INFORMATION CONCERNING THIS EVENT AND THE COMPLAINT IS STILL UNDER INVESTIGATION. A FINAL REPORT WILL BE SUBMITTED ONCE THE INVESTIGATION IS COMPLETE.","THE CUSTOMER MISTAKENLY BELIEVED THAT THE CRITICAL VALUES WOULD TRANSFER TO THE CERNER EMR AND, BECAUSE OF THIS, THE USER WAS NOT ALERTED TO THE PATIENT CONDITION IN THE EXPECTED WAY.",confirmed,CAPA_INVESTIGATE,no,not_assessable,not_assessable,"Death-associated report. Device conforms to DICOM spec per investigation and root cause is an interoperability/design-limitation gap (critical value text not transferable via DICOM), not a device defect; manufacturer closed with no action. Given the death association and the fact that the underlying interoperability gap is systemic and could recur at other Cerner sites, conservative routing is CAPA_INVESTIGATE rather than accepting NO_ACTION on manufacturer's closure alone."
MAUDE-ECG-0003,1218950-2026-100131,DPS,Malfunction,"Event Description: IT WAS REPORTED THAT ECG WAS NOT READING CORRECTLY. THE DEVICE WAS IN USE ON A PATIENT AT THE TIME OF THE EVENT. THERE WAS NO ADVERSE EVENT REPORTED. Manufacturer Narrative: THE DEVICE WAS RETURNED TO PHILIPS BENCH REPAIR. THE BENCH REPAIR TECHNICIAN (BRT) FOUND THAT THERE WAS LOTS OF INTERFERENCE AND DIFFICULTY GETTING CLEAR CONNECTION WHEN USING CUSTOMER'S LEADS/PATIENT INTERFACE MODULE (PIM)/CABLE/CLIPS. THE BRT TESTED THE DEVICE WITH A KNOWN GOOD LEAD/PIM/CABLE, AND THERE WERE NO ISSUES WITH ECG. THE BRT SWAPPED THE CUSTOMER'S LEADS WITH KNOWN GOOD LEADS, AND THE CUSTOMER'S PIM AND PATIENT DATA CABLE WORKED WELL, SO THE BRT DETERMINED THAT THE LEADS NEED TO BE REPLACED. THE BRT THEN USED THE CUSTOMER'S CLIPS ON KNOWN GOOD LEADS/PIM/CABLE, AND THERE WAS LOTS OF INTERFERENCE AND DIFFICULTY CONNECTING, SO THE BRT IDENTIFIED THAT THE ECG SIGNAL ISSUE IS CAUSED BY CONSUMABLES (LEADS 989803151631 AND CLIPS 989803166031) AS THE PIM AND DEVICE WERE WORKING WELL. THE CUSTOMER ORDERED NEW LEADS AND CLIPS, AND THE DEVICE WAS RETURNED TO THE CUSTOMER SITE. THE BRT CLARIFIED THE ISSUE TO MEAN THAT THERE WAS ""LOTS OF INTERFERENCE AND DIFFICULTY GETTING CLEAR CONNECTION WHEN USING CUSTOMER'S LEADS/PIM/CABLE/CLIPS"". THIS WAS DETERMINED TO BE A NON-REPORTABLE ISSUE. THE ECG WAVEFORM IS OBVIOUSLY POOR, NON-PHYSIOLOGICAL AND MAY DISPLAY PACER SPIKES OR NOISE POSSIBLY RESULTING IN HIGH OR INACCURATE MEASUREMENTS BECAUSE THE ECG SIGNAL IS NOT OPTIMIZED AND DOES NOT REPRESENT THE PATIENT'S RHYTHM. CLINICIANS WILL USE ADDITIONAL MEANS TO ASSESS PATIENT CONDITION WHEN MEASUREMENTS ARE SUSPECT. Manufacturer Narrative: PHILIPS IS IN THE PROCESS OF OBTAINING ADDITIONAL INFORMATION CONCERNING THIS EVENT AND THE COMPLAINT IS STILL UNDER INVESTIGATION. A FINAL REPORT WILL BE SUBMITTED ONCE THE INVESTIGATION IS COMPLETE. SECTION E: REPORTING INSTITUTION PHONE #: (B)(6). SECTION E: REPORTER PHONE #: (B)(6).",THE BRT IDENTIFIED THAT THE ECG SIGNAL ISSUE IS CAUSED BY CONSUMABLES (LEADS 989803151631 AND CLIPS 989803166031) AS THE PIM AND DEVICE WERE WORKING WELL.,confirmed,MONITOR,no,not_assessable,not_assessable,"Root cause confirmed as consumables (leads/clips), not the device; new consumables ordered. No adverse patient outcome. MONITOR for recurrence of consumable-related signal quality issues."
MAUDE-ECG-0007,1417592-2026-02389,DPS,Injury,"Event Description: ACCORDING TO THE FACILITY, THE EKG MACHINE WOULD NOT LOAD THE LEADS PROPERLY ON THE SCREEN. IT WOULD NOT PRINT THE EKG ONTO THE PAPER. Manufacturer Narrative: ACCORDING TO THE FACILITY, THE EKG MACHINE WOULD NOT LOAD THE LEADS PROPERLY ON THE SCREEN. IT WOULD NOT PRINT THE EKG ONTO THE PAPER. PER THE FACILITY, THEY WERE TRYING TO GET AN EKG ON A PATIENT WHO WAS IN AND OUT OF CONSCIOUSNESS. NO SURGICAL INTERVENTION OCCURRED. FACILITY STATED, ""WE DID HAVE TO GIVE MEDS TO THE PATIENT, AS OUR EKG MACHINE WOULD NOT READ APPROXIMATELY, EVEN WITH FISHING THROUGH THE SETTINGS"" AND LATER STATED ""I WAS ACTUALLY ABLE TO FIGURE OUT WHAT WAS WRONG WITH OUR EKG AND GOT IT WORKING AGAIN. SOMEONE HAD SWITCHED THE 'MODE' TO MANUAL, SO I SWITCHED IT BACK TO 'AUTO', TESTED IT OUT ON MYSELF, AND IT IS WORKING AS NORMAL AGAIN."" THE CUSTOMER WOULD NOT PROVIDE ANY ADDITIONAL DETAILS. IT HAS BEEN DETERMINED THAT THOUGH THE EVENT DID NOT INVOLVE A DEATH OR SERIOUS INJURY, RECURRENCE COULD CAUSE OR CONTRIBUTE TO DEATH OR SERIOUS INJURY. BASED ON THE INFORMATION REVIEWED, THIS IS A REPORTABLE EVENT AS DEFINED UNDER 21 CFR 803.3.","IT HAS BEEN DETERMINED THAT THOUGH THE EVENT DID NOT INVOLVE A DEATH OR SERIOUS INJURY, RECURRENCE COULD CAUSE OR CONTRIBUTE TO DEATH OR SERIOUS INJURY.",confirmed,CAPA_INVESTIGATE,no,not_assessable,not_assessable,Confirmed use-error/configuration issue (mode set to manual) affected acquisition on a patient with altered consciousness; explicitly deemed reportable per 21 CFR 803.3 with recurrence risk. Warrants investigation of how mode setting was changed/whether UI safeguards are adequate.
MAUDE-ECG-0008,20310396,DPS,Malfunction,Event Description: THE EKG UNIT SCREEN IS SUPPORTED BY A HINGE THAT SUPPORTS THE DISPLAY TO OPEN AND CLOSE. THIS HINGE IS GETTING CRACKED ON VARIOUS POINTS AND IS PREVENTING THE DISPLAY TO LIGHT UP TO SHOW THE PATIENT EKG. THIS HAS BEEN EXPERIENCED ON A COUPLE OF OUR UNITS SO FAR.,THIS HINGE IS GETTING CRACKED ON VARIOUS POINTS AND IS PREVENTING THE DISPLAY TO LIGHT UP TO SHOW THE PATIENT EKG. THIS HAS BEEN EXPERIENCED ON A COUPLE OF OUR UNITS SO FAR.,confirmed,CAPA_INVESTIGATE,yes,not_assessable,not_assessable,"Recurring hardware defect (hinge cracking) reported across multiple units by the same customer, but no manufacturer narrative/investigation is present in this record to confirm scope, root cause, or corrective action -- evidence is insufficient to fully support routing, so CAPA_INVESTIGATE is chosen conservatively given the multi-unit pattern."
MAUDE-ECG-0009,20630315,DPS,Malfunction,"Event Description: ELECTROCARDIOGRAM (ECG OR EKG) MACHINE WOULD NOT CONNECT TO INTERNET AND UNABLE TO CROSS OVER THE DATA . REBOOT DID NOT WORK, USED A DIFFERENT MACHINE TO GET RESULTS. NO PATIENT INFORMATION PROVIDED.",ELECTROCARDIOGRAM (ECG OR EKG) MACHINE WOULD NOT CONNECT TO INTERNET AND UNABLE TO CROSS OVER THE DATA.,confirmed,MONITOR,yes,not_assessable,not_assessable,"Connectivity malfunction confirmed by reporter; a backup machine was used and no patient information or adverse outcome is provided. No manufacturer investigation narrative is present to establish root cause, so evidence is insufficient for a higher routing tier."
MAUDE-ECG-0010,2183461-2023-00014,DPS,Malfunction,"Event Description: THE CUSTOMER REPORTED THAT THE ELI 380 WAS HAVING INTERMITTENT CONNECTION ISSUES. THIS INCIDENT WAS CAPTURED UNDER HILLROM COMPLAINT REF (B)(4). Manufacturer Narrative: THE ELI 380 DEVICE IS INDICATED FOR USE TO ACQUIRE, ANALYZE, DISPLAY, AND PRINT ELECTROCARDIOGRAMS. DEVICE IS INDICATED FOR USE TO PROVIDE INTERPRETATION OF THE DATA FOR CONSIDERATION BY A PHYSICIAN. DEVICE IS INDICATED FOR USE IN A CLINICAL SETTING, BY A PHYSICIAN OR BY TRAINED PERSONNEL WHO ARE ACTING ON THE ORDERS OF A LICENSED PHYSICIAN. IT IS NOT INTENDED AS A SOLE MEANS OF DIAGNOSIS. THE INTERPRETATIONS OF ECG OFFERED BY THE DEVICE ARE ONLY SIGNIFICANT WHEN USED IN CONJUNCTION WITH A PHYSICIAN OVER-READ AS WELL AS CONSIDERATION OF ALL OTHER RELEVANT PATIENT DATA. DEVICE IS INDICATED FOR USE ON ADULT AND PEDIATRIC POPULATIONS. THE DEVICE IS NOT INTENDED TO BE USED AS A VITAL SIGNS PHYSIOLOGICAL MONITOR. THE CUSTOMER REFUSED TO RETURN THE UNIT FOR REPAIR, THEREFORE AN INVESTIGATION INTO THE ROOT CAUSE OF THE REPORTED MALFUNCTION COULD NOT BE PERFORMED. IF THE ELI 380 DEVICE LOSES CONNECTION TO THE WIRELESS NETWORK, THE DEVICE IS UNABLE TO TRANSMIT OR RECEIVE ECG¿S. THIS FAILED CONNECTION MAY RESULT IN A DELAY OF PATIENT TREATMENT WHICH MAY CAUSE OR CONTRIBUTE TO A SERIOUS INJURY OR DEATH. THEREFORE, HILLROM IS REPORTING THIS ALLEGED CONNECTION FAILURE AS A PRODUCT MALFUNCTION.",THIS FAILED CONNECTION MAY RESULT IN A DELAY OF PATIENT TREATMENT WHICH MAY CAUSE OR CONTRIBUTE TO A SERIOUS INJURY OR DEATH.,suspected,CAPA_INVESTIGATE,yes,not_assessable,not_assessable,"Intermittent connection issue is confirmed by the customer, but the potential-harm statement is a hypothetical (suspected) consequence, not an observed patient outcome. Customer refused to return the unit, so root-cause investigation could not be performed -- evidence is insufficient, and conservative routing (CAPA_INVESTIGATE) is chosen given the death/serious-injury pathway described."
MAUDE-ECG-0011,2183461-2024-00040,DPS,Malfunction,"Event Description: THE CUSTOMER REPORTED NETWORK ISSUES AND BEING UNABLE TO TRANSMIT DATA. THERE WAS NO ADVERSE EVENT REPORTED. THIS INCIDENT WAS CAPTURED UNDER BAXTER COMPLAINT REF # (B)(6). Manufacturer Narrative: PER THE CUSTOMER, THEY WERE UNABLE TO SEE ANY ISSUES FROM THE IT SIDE. THE CUSTOMER DID NOT RETURN THE DEVICE FOR INSPECTION BY BAXTER. TECHNICAL SERVICES DIRECTED THE CUSTOMER ON HOW TO ACCESS THE LOGS AND TROUBLESHOOTED SOME POTENTIAL FIXES. THE CUSTOMER CONFIRMED THEY WOULD PERFORM FURTHER TROUBLESHOOTING AND CONTACT BAXTER IF THEY REQUIRED FURTHER ASSISTANCE. BASED ON THIS INFORMATION NO ADDITIONAL ACTIONS ARE REQUIRED AT THIS TIME. THE ELI 380 IS INTENDED TO BE A HIGH-PERFORMANCE, MULTICHANNEL RESTING ELECTROCARDIOGRAPH. AS A RESTING ELECTROCARDIOGRAPH, THE ELI 380 SIMULTANEOUSLY ACQUIRES DATA FROM EACH LEAD. ONCE THE DATA IS ACQUIRED, IT CAN BE ANALYZED, REVIEWED, STORED, PRINTED OR TRANSMITTED. IT IS A DEVICE PRIMARILY INTENDED FOR USE IN HOSPITALS BUT MAY BE USED IN MEDICAL CLINICS AND OFFICES OF ANY SIZE. DEVICE IS INDICATED FOR USE TO PROVIDE INTERPRETATION OF THE DATA FOR CONSIDERATION BY A PHYSICIAN. DEVICE IS INDICATED FOR USE IN A CLINICAL SETTING, BY A PHYSICIAN OR BY TRAINED PERSONNEL WHO ARE ACTING ON THE ORDERS OF A LICENSED PHYSICIAN. IT IS NOT INTENDED AS A SOLE MEANS OF DIAGNOSIS. THE INTERPRETATIONS OF ECG OFFERED BY THE DEVICE ARE ONLY SIGNIFICANT WHEN USED IN CONJUNCTION WITH A PHYSICIAN OVER-READ AS WELL AS CONSIDERATION OF ALL OTHER RELEVANT PATIENT DATA. DEVICE IS INDICATED FOR USE ON ADULT AND PEDIATRIC POPULATIONS. THE DEVICE IS NOT INTENDED TO BE USED AS A VITAL SIGNS PHYSIOLOGICAL MONITOR. ALTHOUGH THERE WAS NO ADVERSE EVENT REPORTED, IF THE ELI380 WERE TO LOOSE WIFI CONNECTION AND STOP TRANSFERRING DATA IN AN EMERGENCY SETTING, IT COULD LEAD TO SERIOUS INJURY OR DEATH. THEREFORE BAXTER IS REPORTING THIS ALLEGED DEVICE MALFUNCTION.","ALTHOUGH THERE WAS NO ADVERSE EVENT REPORTED, IF THE ELI380 WERE TO LOOSE WIFI CONNECTION AND STOP TRANSFERRING DATA IN AN EMERGENCY SETTING, IT COULD LEAD TO SERIOUS INJURY OR DEATH.",suspected,MONITOR,yes,not_assessable,not_assessable,"Network/transmission issue reported with no adverse event; customer did not return device for inspection and no IT-side cause was confirmed. The death/serious-injury language is boilerplate hypothetical risk, not an observed outcome. Evidence insufficient for root cause; MONITOR is appropriate given no confirmed patient impact."
MAUDE-ECG-0012,2183461-2025-00003,DPS,Malfunction,"Event Description: CUSTOMER REPORTED WIFI DROPPING. THIS COMPLAINT WAS CAPTURED UNDER BAXTER REF # (B)(4). Manufacturer Narrative: THE ELI 380 IS INTENDED TO BE A HIGH-PERFORMANCE, MULTICHANNEL RESTING ELECTROCARDIOGRAPH. AS A RESTING ELECTROCARDIOGRAPH, THE ELI 380 SIMULTANEOUSLY ACQUIRES DATA FROM EACH LEAD. ONCE THE DATA IS ACQUIRED, IT CAN BE ANALYZED, REVIEWED, STORED, PRINTED OR TRANSMITTED. IT IS A DEVICE PRIMARILY INTENDED FOR USE IN HOSPITALS BUT MAY BE USED IN MEDICAL CLINICS AND OFFICES OF ANY SIZE. DEVICE IS INDICATED FOR USE TO PROVIDE INTERPRETATION OF THE DATA FOR CONSIDERATION BY A PHYSICIAN. DEVICE IS INDICATED FOR USE IN A CLINICAL SETTING, BY A PHYSICIAN OR BY TRAINED PERSONNEL WHO ARE ACTING ON THE ORDERS OF A LICENSED PHYSICIAN. IT IS NOT INTENDED AS A SOLE MEANS OF DIAGNOSIS. THE INTERPRETATIONS OF ECG OFFERED BY THE DEVICE ARE ONLY SIGNIFICANT WHEN USED IN CONJUNCTION WITH A PHYSICIAN OVER-READ AS WELL AS CONSIDERATION OF ALL OTHER RELEVANT PATIENT DATA. DEVICE IS INDICATED FOR USE ON ADULT AND PEDIATRIC POPULATIONS. THE DEVICE IS NOT INTENDED TO BE USED AS A VITAL SIGNS PHYSIOLOGICAL MONITOR. ALTHOUGH THERE WAS NO INJURY REPORTED, IF THE ELI380 WERE TO DROP WIFI CONNECTION, IT COULD LEAD TO A SERIOUS INJURY OR DEATH. THEREFORE, BAXTER IS REPORTING THIS EVENT.","ALTHOUGH THERE WAS NO INJURY REPORTED, IF THE ELI380 WERE TO DROP WIFI CONNECTION, IT COULD LEAD TO A SERIOUS INJURY OR DEATH.",suspected,MONITOR,yes,not_assessable,not_assessable,"WiFi dropping reported with no injury; narrative contains only standard indications-for-use boilerplate and a hypothetical risk statement, with no device-specific investigation or root cause given. Evidence insufficient; MONITOR pending any recurrence pattern."
MAUDE-ECG-0017,MW5187880,DPS,Injury,"Event Description: HI, MY NAME IS (B)(6) FROM (B)(6). I'M A RIGHT HEARTED HUMAN CALLED DEXTROCARDIA. I WENT TO (B)(6) HOSPITAL AT (B)(6) BECAUSE I WAS HAVING LOSS OF BREATH AND IT FELT LIKE I WAS HAVING A HEART ATTACK. WELL, THE NURSE ORDERED AN EKG MACHINE READ ON MY HEART AND THE EKG MACHINE HAD A LEFT HEART HUMAN ON IT AND GLOW IF THE HEART CAME ON RIGHT. WELL, MY HEART DIDN'T GLOW WHICH IS RIGHT, BUT HE KEPT PUTTING IT ON ME KNOWING I TOLD THEM I'M RIGHT HEARTED THEY DID IT ANYWAY. CAN YOU GIVE ME THE LETTER TO SUE THE COMPANY THAT SOLD THEM THIS PRODUCT?","WELL, MY HEART DIDN'T GLOW WHICH IS RIGHT, BUT HE KEPT PUTTING IT ON ME KNOWING I TOLD THEM I'M RIGHT HEARTED THEY DID IT ANYWAY.",mention-only,MONITOR,yes,not_assessable,not_assessable,"Consumer letter is confusing and largely describes an expected dextrocardia finding rather than a clear device malfunction; no manufacturer narrative, clinical confirmation, or description of an actual adverse outcome is present. Evidence is insufficient to characterize this as a confirmed device or use-error event; MONITOR chosen rather than NO_ACTION given the safety-adjacent subject matter and the request for legal action, which suggests the reporter believes harm occurred."
MAUDE-ECG-0020,2183461-2026-00001,MLO,Malfunction,"Event Description: THE CUSTOMER REPORTED THAT THEY HAD A PATIENT APPEARING TWICE IN HSCRIBE WITH EXACTLY THE SAME NAME, NHS NUMBER, DATE OF BIRTH, AND SETUP TIMESTAMP (SAME DAY, HOUR, MINUTE, AND SECOND). HOWEVER, WHEN OPENING EACH RECORD, THE ECG TRACES WERE COMPLETELY DIFFERENT AND CLEARLY CORRESPOND TO TWO DIFFERENT PATIENTS. THERE WAS NO ADVERSE EVENT REPORTED. Manufacturer Narrative: UPON INSPECTION, THE TECHNICIAN WAS UNABLE TO FIND ANY MALFUNCTION WITH THE DEVICE. THE CAUSE OF THE REPORTED ISSUE WAS DETERMINED TO BE USE ERROR WHERE THE CUSTOMER CHOSE THE WRONG PATIENT FROM THE WORK-LIST. THE SYSTEM CORRECTLY PRESENTED A LIST OF PATIENTS, AND IT APPEARS THE USER SELECTED THE WRONG PATIENT FROM THAT LIST. THE HSCRIBE SYSTEM IS INDICATED FOR USE IN A CLINICAL SETTING, BY QUALIFIED MEDICAL PROFESSIONALS ONLY, FOR PATIENTS REQUIRING AMBULATORY (HOLTER) MONITORING OF 24-48 HOURS. SUCH MONITORING IS MOST FREQUENTLY USED FOR THE PURPOSE OF PROSPECTIVE AND RETROSPECTIVE CARDIAC DATA AND ARRHYTHMIA ANALYSIS. THE ANALYSIS SOFTWARE PACKAGE INCLUDES, AMONG OTHERS, DETECTION AND REPORTING FEATURES APPROPRIATE TO THE INDICATIONS BELOW: EVALUATION OF ADULT PATIENTS WITH SYMPTOMS RELATED TO RHYTHM DISTURBANCES OR SYMPTOMS SUGGESTING ARRHYTHMIA . EVALUATION OF ADULT PATIENTS FOR ST SEGMENT CHANGES . EVALUATION OF ADULT PATIENTS WITH PACEMAKERS . REPORTING OF TIME DOMAIN HEART RATE VARIABILITY . EVALUATION OF INFANT PATIENTS LIMITED TO QRS DETECTION ONLY. THE BAXTER SERVICE THOROUGHLY INSPECTED THE DEVICE AND WAS UNABLE TO DUPLICATE THE REPORTED ISSUE. THE DEVICE FUNCTIONED AS DESIGNED. HOWEVER, IF THE REPORTED EVENT OF AN INCORRECT PATIENT INFORMATION RECORD WERE TO RECUR, IT WOULD BE LIKELY TO CAUSE OR CONTRIBUTE TO DEATH OR SERIOUS INJURY, THEREFORE BAXTER CONSIDERS THIS EVENT REPORTABLE.",THE CAUSE OF THE REPORTED ISSUE WAS DETERMINED TO BE USE ERROR WHERE THE CUSTOMER CHOSE THE WRONG PATIENT FROM THE WORK-LIST.,confirmed,CAPA_INVESTIGATE,no,not_assessable,not_assessable,"Manufacturer confirmed no device malfunction; root cause was use error (wrong patient selected from worklist) with no adverse event. However, patient-misidentification is explicitly flagged by the manufacturer as likely to cause or contribute to death or serious injury if it recurs, so CAPA_INVESTIGATE (e.g., worklist/workflow safeguard review) is chosen over NO_ACTION/MONITOR."
