model,split,arm,successes,n,estimate,nominal_ci_lo,nominal_ci_hi,icc,design_effect,effective_n,adj_ci_lo,adj_ci_hi
qwen3.5_0.8b,development,direct,0,100,0.0,0.0,0.037,0.0,1.0,100.0,0.0,0.037
qwen3.5_0.8b,development,rag,15,100,0.15,0.0931,0.2328,1.0,5.0,20.0,0.0524,0.3604
qwen3.5_0.8b,development,agent_raw,20,100,0.2,0.1334,0.2888,1.0,5.0,20.0,0.0807,0.416
qwen3.5_0.8b,development,agent_opa,20,100,0.2,0.1334,0.2888,1.0,5.0,20.0,0.0807,0.416
qwen3.5_0.8b,held_out,direct,0,100,0.0,0.0,0.037,0.0,1.0,100.0,0.0,0.037
qwen3.5_0.8b,held_out,rag,0,100,0.0,0.0,0.037,0.0,1.0,100.0,0.0,0.037
qwen3.5_0.8b,held_out,agent_raw,0,100,0.0,0.0,0.037,0.0,1.0,100.0,0.0,0.037
qwen3.5_0.8b,held_out,agent_opa,0,100,0.0,0.0,0.037,0.0,1.0,100.0,0.0,0.037
gemma3_1b,development,direct,15,100,0.15,0.0931,0.2328,1.0,5.0,20.0,0.0524,0.3604
gemma3_1b,development,rag,0,100,0.0,0.0,0.037,0.0,1.0,100.0,0.0,0.037
gemma3_1b,development,agent_raw,14,100,0.14,0.0853,0.2214,0.9208,4.6833,21.352,0.0487,0.3411
gemma3_1b,development,agent_opa,14,100,0.14,0.0853,0.2214,0.9208,4.6833,21.352,0.0487,0.3411
gemma3_1b,held_out,direct,0,100,0.0,0.0,0.037,0.0,1.0,100.0,0.0,0.037
gemma3_1b,held_out,rag,0,100,0.0,0.0,0.037,0.0,1.0,100.0,0.0,0.037
gemma3_1b,held_out,agent_raw,0,100,0.0,0.0,0.037,0.0,1.0,100.0,0.0,0.037
gemma3_1b,held_out,agent_opa,0,100,0.0,0.0,0.037,0.0,1.0,100.0,0.0,0.037
qwen3.5_2b,development,direct,10,100,0.1,0.0552,0.1744,1.0,5.0,20.0,0.0279,0.301
qwen3.5_2b,development,rag,5,100,0.05,0.0215,0.1118,1.0,5.0,20.0,0.0089,0.2361
